match_id,days_until_match,seat_zone,zone_historical_sales,ticket_price,ea_opponent_strength,web_visits,weather_forecast,is_weekday,is_international,opponent_tier,top_player_injured,league_winner_known,team_position,is_holiday,popular_concert_in_city,flights_to_barcelona_index,google_trends_index,internal_search_trends,social_media_sentiment,web_conversion_rate,zone_seats_availability,ticket_availability_pct,competitor_avg_price
1,90,VIP,0,272.98,65,5123,Windy,False,False,C,False,True,2,False,False,20,20,501,-0.07,0.0,500,1.0,297.8194576544446
1,89,VIP,0,185.68,65,4485,Sunny,False,False,C,False,True,2,False,False,20,20,410,-0.03,0.0,500,1.0,158.03349395553929
1,88,VIP,0,179.78,65,4640,Sunny,False,False,C,False,True,1,False,False,20,20,509,0.08,0.0,500,1.0,144.66417183487093
1,87,VIP,0,311.44,65,5127,Sunny,False,False,C,False,True,5,False,False,20,20,495,-0.02,0.0,500,1.0,303.4561595626176
1,86,VIP,0,300.16,65,5196,Sunny,False,False,C,False,True,5,False,False,20,20,511,0.05,0.0,500,1.0,345.4182378187141
1,85,VIP,0,194.53,65,4006,Sunny,False,False,C,False,True,2,False,False,22,20,402,0.08,0.0,500,1.0,212.9279574249629
1,84,VIP,0,226.94,65,4571,Sunny,False,False,C,False,True,3,False,False,20,20,510,-0.0,0.0,500,1.0,229.11935980582894
1,83,VIP,0,193.27,65,4445,Sunny,False,False,C,False,True,3,False,False,20,20,382,0.07,0.0,500,1.0,203.9305007453931
1,82,VIP,0,255.8,65,4400,Rain,False,False,C,False,True,5,False,False,20,20,420,-0.07,0.0,500,1.0,283.1617124456747
1,81,VIP,0,233.66,65,5220,Windy,False,False,C,False,True,1,False,False,20,20,537,-0.02,0.0,500,1.0,224.61945392858578
1,80,VIP,0,344.8,65,5034,Rain,False,False,C,False,True,5,False,False,20,20,462,0.04,0.0,500,1.0,338.97186601204726
1,79,VIP,0,289.1,65,5062,Sunny,False,False,C,False,True,2,False,False,20,20,473,-0.01,0.0,500,1.0,345.81760293112626
1,78,VIP,0,193.43,65,5907,Windy,False,False,C,False,True,1,False,False,20,20,695,-0.05,0.0,500,1.0,192.98219370775496
1,77,VIP,0,288.59,65,5755,Sunny,False,False,C,False,True,3,False,False,22,20,617,-0.06,0.0,500,1.0,285.245963290387
1,76,VIP,0,261.08,65,5105,Windy,False,False,C,False,True,5,False,False,20,20,563,-0.03,0.0,500,1.0,299.8067809466148
1,75,VIP,0,337.42,65,5903,Windy,False,False,C,False,True,4,False,False,20,20,609,-0.07,0.0,500,1.0,381.8026316481709
1,74,VIP,0,249.84,65,5957,Sunny,False,False,C,False,True,4,False,False,20,20,621,0.05,0.0,500,1.0,257.5356770634842
1,73,VIP,0,266.0,65,4315,Sunny,False,False,C,False,True,1,False,False,20,20,389,0.06,0.0,500,1.0,269.393339437239
1,72,VIP,0,311.65,65,4498,Sunny,False,False,C,False,True,4,False,False,22,20,483,-0.03,0.0,500,1.0,280.06279198588686
1,71,VIP,0,257.84,65,5406,Sunny,False,False,C,False,True,4,False,False,21,20,546,-0.04,0.0,500,1.0,263.9780249304443
1,70,VIP,0,182.49,65,5299,Sunny,False,False,C,False,True,4,False,False,23,20,497,0.02,0.0,500,1.0,172.15193304411108
1,69,VIP,0,144.65,65,5970,Windy,False,False,C,False,True,5,False,False,20,20,577,0.03,0.0,500,1.0,151.34080366932673
1,68,VIP,0,271.39,65,4398,Rain,False,False,C,False,True,2,False,False,20,20,500,0.05,0.0,500,1.0,313.78953357529116
1,67,VIP,0,235.91,65,4535,Sunny,False,False,C,False,True,2,False,False,22,20,431,-0.0,0.0,500,1.0,188.819502169643
1,66,VIP,0,151.63,65,5558,Rain,False,False,C,False,True,2,False,False,22,20,575,-0.02,0.0,500,1.0,153.31231365829208
1,65,VIP,0,240.36,65,4696,Sunny,False,False,C,False,True,2,False,False,20,20,487,-0.03,0.0,500,1.0,210.09372416237727
1,64,VIP,0,344.95,65,6133,Sunny,False,False,C,False,True,5,False,False,23,20,716,-0.07,0.0,500,1.0,296.192886777685
1,63,VIP,0,361.42,65,5977,Rain,False,False,C,False,True,5,False,False,23,20,706,-0.05,0.0,500,1.0,357.0399887138883
1,62,VIP,0,141.55,65,4689,Sunny,False,False,C,False,True,5,False,False,23,20,509,0.08,0.0,500,1.0,122.80290998210087
1,61,VIP,0,233.88,65,5927,Sunny,False,False,C,False,True,4,False,False,20,20,570,0.08,0.0,500,1.0,196.7551397233918
1,60,VIP,0,201.87,65,5819,Sunny,False,False,C,False,True,3,False,False,21,20,516,0.02,0.0,500,1.0,189.9572204737791
1,59,VIP,0,274.71,65,5915,Sunny,False,False,C,False,True,1,False,False,20,20,504,0.06,0.0,500,1.0,303.2108859436367
1,58,VIP,0,173.78,65,6411,Sunny,False,False,C,False,True,3,False,False,23,20,617,0.03,0.0,500,1.0,155.84683867905454
1,57,VIP,0,189.08,65,4619,Windy,False,False,C,False,True,5,False,False,20,20,470,0.02,0.0,500,1.0,202.46721257450923
1,56,VIP,0,363.53,65,5666,Sunny,False,False,C,False,True,1,False,False,23,20,460,0.04,0.0,500,1.0,333.71419823709186
1,55,VIP,0,202.71,65,5289,Sunny,False,False,C,False,True,2,False,False,20,20,585,0.04,0.0,500,1.0,208.60975085165094
1,54,VIP,0,379.09,65,5466,Rain,False,False,C,False,True,3,False,False,21,20,534,-0.05,0.0,500,1.0,452.7529116198506
1,53,VIP,0,349.49,65,6570,Windy,False,False,C,False,True,4,False,False,23,20,641,-0.05,0.0,500,1.0,311.4448167696164
1,52,VIP,0,376.84,65,6102,Sunny,False,False,C,False,True,5,False,False,20,20,599,-0.08,0.0,500,1.0,392.47395103225807
1,51,VIP,0,364.6,65,5232,Sunny,False,False,C,False,True,3,False,False,20,20,543,-0.06,0.0,500,1.0,381.3842475223644
1,50,VIP,0,279.95,65,5858,Sunny,False,False,C,False,True,4,False,False,23,20,578,-0.05,0.0,500,1.0,326.6404905950517
1,49,VIP,0,356.09,65,5239,Sunny,False,False,C,False,True,3,False,False,20,20,577,-0.07,0.0,500,1.0,326.04033023003313
1,48,VIP,0,322.08,65,5317,Sunny,False,False,C,False,True,1,False,False,20,20,468,-0.04,0.0,500,1.0,283.5672980336643
1,47,VIP,0,129.14,65,6015,Sunny,False,False,C,False,True,5,False,False,20,20,617,0.07,0.0,500,1.0,132.3882430510624
1,46,VIP,0,274.29,65,6061,Windy,False,False,C,False,True,3,True,False,20,20,684,-0.06,0.0,500,1.0,254.5833704714963
1,45,VIP,0,344.78,65,6973,Windy,False,False,C,False,True,5,True,False,20,20,598,-0.05,0.0,500,1.0,378.44416803182935
1,44,VIP,0,350.72,65,5112,Windy,False,False,C,False,True,3,False,False,22,20,454,0.02,0.0,500,1.0,338.76159009272965
1,43,VIP,0,374.05,65,7202,Windy,False,False,C,False,True,5,False,False,20,20,711,0.07,0.0,500,1.0,364.39648146993204
1,42,VIP,0,362.55,65,6805,Sunny,False,False,C,False,True,5,False,False,20,20,594,0.06,0.0,500,1.0,386.11901506130545
1,41,VIP,0,154.08,65,5704,Windy,False,False,C,False,True,2,False,False,20,20,626,0.06,0.0,500,1.0,145.94464868786147
1,40,VIP,0,204.02,65,7176,Sunny,False,False,C,False,True,5,False,False,23,20,791,-0.04,0.0,500,1.0,169.29468740503535
1,39,VIP,0,345.71,65,5660,Sunny,False,False,C,False,True,2,False,False,21,20,553,-0.03,0.0,500,1.0,284.61720828648976
1,38,VIP,0,262.56,65,6276,Rain,False,False,C,False,True,3,False,False,20,20,670,-0.06,0.0,500,1.0,261.5728063728456
1,37,VIP,0,193.96,65,5778,Rain,False,False,C,False,True,4,False,False,20,20,481,-0.01,0.0,500,1.0,157.5972619726404
1,36,VIP,0,256.28,65,6225,Sunny,False,False,C,False,True,4,False,False,20,20,733,0.02,0.0,500,1.0,220.36154014044828
1,35,VIP,0,361.22,65,7397,Sunny,False,False,C,False,True,2,False,False,22,20,816,0.04,0.0,500,1.0,412.1046907894772
1,34,VIP,0,144.42,65,7406,Sunny,False,False,C,False,True,4,False,False,20,20,885,-0.03,0.0,500,1.0,116.44296807287033
1,33,VIP,0,202.79,65,8025,Windy,False,False,C,False,True,2,False,False,22,20,681,-0.01,0.0,500,1.0,174.11317058394712
1,32,VIP,0,233.23,65,6576,Sunny,False,False,C,False,True,1,False,False,22,20,671,0.03,0.0,500,1.0,261.83940187573694
1,31,VIP,0,265.53,65,7621,Sunny,False,False,C,False,True,5,False,False,20,20,737,-0.03,0.0,500,1.0,262.1039014671805
